OTUID	logFC	logCPM	PValue	FDR	level	Kingdom	Phylum	Class	Order	Family	Genus	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6
OTU_1268	-2.786	7.203	0.00282583491812736	0.0436801702711445	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	0.002	0.019	0.006	0.006	0	0	0	0	0.073	0.009	0.009	0.003	0.009	0.009
OTU_1225	-3.449	7.353	0.00282689913703137	0.0436801702711445	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	0.001	0.02	0	0.003	0	0	0	0.006	0	0.003	0.078	0.009	0.026	0.003
OTU_2483	-5.08	6.842	0.00283093305443187	0.0436801702711445	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	0	0.012	0	0	0	0	0	0	0	0	0	0.065	0	0.006
OTU_1573	-5.707	7.195	0.00284059078314764	0.0436801702711445	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	0	0.018	0	0	0	0	0	0	0	0	0	0.108	0	0
OTU_204	-1.347	9.158	0.00287296535553454	0.0439269873394513	Depleted	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Unassigned	0.026	0.081	0.043	0.028	0.044	0.019	0.016	0.008	0.086	0.062	0.116	0.086	0.05	0.085
OTU_764	-2.952	7.796	0.0028956242064542	0.04402330361338	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Cryobacterium	0.003	0.031	0.009	0	0.003	0	0	0.008	0.009	0.018	0.049	0	0.1	0.009
OTU_885	-3.64	6.819	0.00301194835621152	0.0450560008991618	Depleted	Bacteria	Cyanobacteria	Chloroplast	Unassigned	Chloroplast	Streptophyta	0	0.011	0	0	0.003	0	0	0	0.012	0.015	0.003	0	0.038	0
OTU_777	-1.981	7.656	0.00324702775460069	0.047823325732765	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.005	0.027	0.009	0	0.005	0	0.005	0.011	0.07	0.012	0.009	0.019	0.021	0.03
OTU_2476	-3.398	6.726	0.00336569691644003	0.048591384370789	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Unassigned	0	0.011	0	0	0	0	0.003	0	0.043	0.003	0.003	0	0.009	0.006
OTU_2469	-2.845	6.48	0.00339324824172161	0.048591384370789	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	0	0.007	0	0.003	0	0	0	0	0.012	0	0.003	0.009	0.006	0.009
OTU_2363	-3.591	6.274	0.0033997897878937	0.048591384370789	Depleted	Bacteria	Bacteroidetes	Unassigned	Unassigned	Unassigned	Unassigned	0	0.005	0	0	0	0	0	0	0.012	0.003	0	0	0.009	0.003
OTU_3028	-2.835	6.481	0.0034127728153397	0.048591384370789	Depleted	Bacteria	Bacteroidetes	Unassigned	Unassigned	Unassigned	Unassigned	0	0.006	0	0	0.003	0	0	0	0.006	0.012	0.009	0.003	0	0.009
OTU_2177	-2.428	7.013	0.00357081446657056	0.0498787357248153	Depleted	Bacteria	Proteobacteria	Oligoflexia	Oligoflexales	Oligoflexaceae	Oligoflexus	0.002	0.014	0.006	0.006	0	0	0	0	0.021	0.027	0.006	0	0.015	0.015
OTU_1671	-2.974	6.542	0.00361417280759281	0.0501326753877951	Depleted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	0	0.007	0	0	0	0	0.003	0	0.006	0.009	0.012	0.012	0.003	0
OTU_1292	-3.069	7.162	0.00373934231001572	0.0510790363261538	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	0.001	0.016	0.003	0	0	0.005	0	0	0.003	0.006	0.066	0.006	0.003	0.012
OTU_1690	-2.957	6.524	0.00378835440614875	0.0514871803381126	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.007	0.003	0	0	0	0	0	0.015	0.003	0.006	0.006	0.012	0
OTU_2367	-4.118	6.455	0.00381023373386456	0.0515243164715052	Depleted	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	0	0.007	0	0	0	0	0	0	0.031	0	0	0	0.006	0.006
OTU_1637	-1.831	7.173	0.0040241521631265	0.0533447954235143	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.003	0.015	0.003	0	0	0.003	0.005	0.008	0.009	0.024	0.017	0.015	0.009	0.015
OTU_984	-1.58	7.8	0.00422918224308092	0.0555157532494183	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	0.008	0.028	0.015	0.009	0.01	0.003	0.005	0.003	0.043	0.021	0.026	0.04	0.009	0.027
OTU_2167	-2.538	6.66	0.0044261070611537	0.0578187092308962	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Ohtaekwangia	0.001	0.009	0	0	0	0.003	0	0.003	0.018	0.009	0.006	0.012	0	0.006
OTU_1645	-2.88	6.796	0.00466329080855186	0.0604128128986671	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Catellatospora	0.001	0.01	0.006	0	0	0	0	0	0.003	0.003	0.012	0.003	0.032	0.009
OTU_916	-2.182	8.173	0.00466958940279553	0.0604128128986671	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	0.007	0.045	0.003	0.017	0.008	0.011	0.003	0.003	0.168	0.006	0.014	0.009	0.024	0.052
