function	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
K03737	924.76	516.42	1358.75	651.3000000000001	696.7900000000001	250.3	1933.77	420.74	1327.4200000000003	770.9	1552.4699999999996	430.66	933.8399999999999	536.6600000000001	711.4100000000001	1029.49	577.08	1243.4899999999998
K03738	0.0	0.0	0.0	8.0	1.0	0.0	388.0	28.0	572.0	8.0	476.0	63.0	107.0	0.0	8.0	0.0	0.0	0.0
K03739	0.0	0.5700000000000001	0.17	0.0	7.42	9.0	240.81	330.66999999999996	85.35	168.08999999999995	92.17	94.52	258.62	635.0300000000002	524.5500000000001	641.15	741.4999999999999	398.83
K03740	0.0	0.5700000000000001	0.17	0.0	7.42	9.0	254.47	340.34	85.67999999999999	168.08999999999995	94.83	95.17999999999999	259.28	635.0300000000002	526.2100000000002	645.4799999999999	742.17	400.15999999999997
K03741	18.62	198.89	114.71	223.5	471.29	20.5	259.25	61.0	70.25	15.0	142.0	17.5	32.75	2.0	8.0	33.5	13.5	56.25
K03742	863.26	494.28999999999996	958.7199999999999	678.5	619.7099999999999	209.3	1374.59	403.66	874.61	390.49000000000007	1097.1600000000003	308.35999999999996	802.2200000000001	914.9100000000001	815.3700000000002	1210.9499999999998	1050.18	974.0100000000002
K03743	399.51	222.83999999999997	637.83	183.79999999999998	410.96000000000004	53.55	1152.62	216.92	541.75	339.0	842.75	219.02999999999997	532.85	626.02	701.2800000000001	730.3700000000001	342.98	603.5900000000001
K03744	382.01	171.73999999999998	509.5	321.8	411.63	39.75	2022.3400000000004	543.0	1025.6100000000001	563.6700000000001	1430.65	391.60999999999996	1040.23	1527.58	1426.4099999999999	2149.29	1603.0500000000002	1693.4199999999996
K03745	0.5	0.0	0.0	8.0	1.0	0.0	67.66	5.0	9.0	8.5	18.5	9.2	60.440000000000005	160.77999999999997	158.54999999999995	212.52	75.91	38.6
K03746	0.0	0.0	0.0	0.0	0.0	0.0	20.66	1.0	1.0	5.0	1.0	2.0	13.84	54.18000000000001	11.85	72.82	36.51	16.0
K03747	0.0	0.0	0.0	0.0	0.0	0.0	39.0	4.0	2.0	2.0	1.0	2.2	47.6	110.6	149.2	140.2	59.4	26.6
K03748	23.0	21.0	35.0	3.0	5.83	0.0	176.91	7.83	49.5	10.0	38.0	53.67	121.34	163.17999999999998	193.34999999999997	207.82000000000002	86.51	236.75
K03749	0.0	0.0	0.0	0.0	0.0	0.0	54.0	4.0	25.0	3.0	46.0	2.0	58.0	17.0	9.0	20.0	28.0	13.0
K03750	31.0	49.0	150.0	123.0	41.0	70.0	942.33	135.01	292.33	104.84	519.99	126.82	347.66999999999996	338.52	273.66999999999996	436.82	457.6700000000001	552.48
K03752	17.0	32.0	125.0	72.0	7.0	51.0	192.98999999999998	68.34	14.33	35.34	63.489999999999995	19.86	145.1	150.77999999999997	189.20999999999995	249.68000000000004	102.41	72.92999999999999
K03753	1.0	11.0	14.0	25.0	6.0	1.0	308.99000000000007	79.34	208.82999999999998	57.84	245.99	43.16	91.0	49.18000000000001	19.009999999999998	92.47999999999999	40.010000000000005	22.83
K03756	0.0	27.990000000000002	77.01	0.0	0.0	0.0	82.33	44.36	17.7	24.66	61.300000000000004	10.68	37.870000000000005	107.18	87.85000000000001	280.81000000000006	223.5	258.32
K03758	0.0	0.0	0.0	9.0	1.0	2.0	12.0	9.0	5.0	0.0	4.0	20.2	27.1	47.6	118.2	36.2	37.4	21.6
K03760	1.0	12.5	0.0	88.0	43.0	0.0	73.5	3.0	25.0	4.0	46.0	2.0	50.5	6.0	8.5	17.0	13.0	12.5
K03762	0.0	7.5	0.0	26.5	2.5	6.5	0.0	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K03763	662.0	524.4	1558.01	576.0	686.42	374.3	1078.99	504.76	420.0999999999999	398.58000000000004	605.4699999999999	230.42000000000004	581.2	739.4100000000002	738.3500000000001	1144.27	1137.52	1100.25
K03764	0.0	0.0	0.0	0.0	0.0	0.0	1.6600000000000001	0.0	0.0	5.0	0.0	1.0	1.8399999999999999	48.18000000000001	5.85	71.82	15.51	11.0
K03767	32.25	22.82	42.92	231.5	178.92000000000002	37.75	592.8700000000001	229.49999999999997	60.94	161.08999999999997	226.18	95.23	294.5700000000001	723.7600000000001	674.0	923.32	863.3199999999999	716.1200000000001
K03768	1137.3600000000001	861.8599999999999	1764.7900000000002	814.1	958.37	323.6	1715.9	550.65	978.1	487.66	1305.17	503.25999999999993	990.0	1482.79	1615.1200000000001	1967.84	1430.1599999999999	1780.1299999999997
K03769	4.0	16.0	21.0	6.0	1.0	13.8	371.83	154.34	283.08	79.34	319.48999999999995	101.36	203.93	141.6	178.85999999999999	183.85999999999999	120.9	139.43
K03770	323.76	94.09	344.90999999999997	115.8	183.62	1.0	1078.77	226.74	605.33	355.40999999999997	888.4900000000001	202.52999999999997	524.7700000000001	607.11	695.6299999999999	876.35	346.40999999999997	713.6800000000001
K03771	623.52	175.68	689.8199999999999	138.6	307.75	0.0	1601.31	325.33	688.75	531.0	1075.0	275.62	615.69	734.7799999999999	935.55	982.0200000000001	361.40999999999997	824.1
K03772	27.62	25.25	0.0	170.0	92.83	0.0	270.65999999999997	76.33	553.0	122.5	686.5	122.7	432.44000000000005	596.2800000000001	332.04999999999995	621.5200000000001	183.91	150.1
K03773	938.28	244.96999999999997	1237.9300000000003	143.20000000000002	435.7099999999999	0.0	2661.46	615.3299999999999	1118.0	1001.0	1785.5	480.04	870.1899999999998	1021.78	1418.0500000000002	1475.02	542.9100000000001	1499.6
K03774	0.0	0.0	0.0	0.0	0.0	0.0	128.0	6.0	34.5	3.0	59.5	10.5	6.0	0.0	2.0	0.0	16.0	2.0
K03775	301.26	73.09	309.91	107.8	171.96	0.0	1043.77	198.91	654.08	362.90999999999997	858.2400000000001	191.77999999999997	532.5200000000001	608.61	652.3799999999999	824.85	299.90999999999997	572.93
K03776	0.0	0.0	0.0	0.0	0.0	0.0	22.0	2.0	0.0	0.0	2.0	2.0	14.0	6.0	4.0	0.0	16.0	8.0
K03777	0.0	0.0	0.0	0.0	0.0	0.0	72.25	6.0	1.25	2.0	3.5	2.45	66.1	116.6	172.2	171.2	69.9	61.1
K03778	348.76	71.89	136.71	110.0	229.29000000000002	68.8	433.8	134.14999999999998	337.99	154.48	286.97999999999996	123.64999999999999	210.15	335.0	460.97999999999996	516.0000000000001	419.01000000000005	674.48
K03779	36.0	40.0	150.0	27.0	59.0	69.0	178.0	10.0	30.0	24.0	93.0	5.0	95.0	50.0	73.0	207.0	205.0	192.0
K03780	36.0	40.0	150.0	27.0	59.0	69.0	178.0	10.0	30.0	24.0	93.0	5.0	84.0	50.0	73.0	207.0	205.0	192.0
