PathwayL2	KO	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
Metabolism of terpenoids and polyketides	K01662K00099K00991K12506K00919K01770K03526K03527K00626K01641K00021K00054K00869K00938K01597K06981K01823K00795K13789K13787K12503K00805K02523K00806K10960K06013K00801K06045K02291K09835K10027K15746K14597K10212K00128K00791K00128K01692K01782K01640K00632K01692K01782K00615K00973K01710K01790K00067K19180K17947K16093K16094K15654K01779K02552K02361K01252K00216K02363K02364K04782K04784K01710	117019.84999999999	92313.7	161897.53	108451.22	96713.09	90057.49	238547.24	69223.5	149104.52000000002	79907.33	172543.30000000002	76573.98	122622.26	127682.25	138997.76	139516.58	155955.09	192212.72999999998
Nervous system	K01425K04608K01915K01425K01580K06027K01915K00274K00274K01054K06027	34336.28	23171.409999999996	35202.64	24148.25	28410.83	18962	32405.75	8710.74	16971.7	9542.22	18660.809999999998	10885.09	15152.15	21638.79	20506.07	20583.450000000004	23959.07	29624.629999999997
Neurodegenerative disease	K00134K00411K00412K00413K08738K00274K00411K00412K00413K08738K03671K08738K04565K00411K00412K00413K13525K00432K03781K04565K04564K00432K00411K00412K00413K08738K08738K17680K04565K04962K08738K00411K00412K00413K04565K04962K13525K00411K00412K00413K08738K00432K03781	29175.82	23620	37590.79	22781.66	22324.03	18598.32	81184.79	24171.77	45457.61	29014.12	51853.79	23594.95	45678.520000000004	53320.22	67528.70999999999	61571.94	76236.92	79965.39
Not included in regular maps	K00528	3522.12	3838.25	6140.87	5015.12	3700.42	4178.77	5339	966.83	3842.5	1028.2	4554.58	2224.5	4161.75	2907.5	3308.58	2503.5	4492.25	3797.75
Nucleotide metabolism	K01515K08312K01839K01835K15778K00948K00764K11788K01945K11175K08289K01492K01952K01933K01589K01588K01923K01756K00602K00759K01081K11751K03787K03783K03784K09913K01239K10213K00760K15780K00088K00940K02428K00769K03816K00087K13479K13480K13481K01951K00364K01487K00942K00873K00525K00526K00527K15518K01129K01139K01524K00951K07816K01768K05851K05873K01939K00856K15519K01488K01241K06966K01486K01119K08693K00939K06928K03651K19710K01525K00860K04765K00956K00957K00958K07127K16841K01466K02083K14977K01483K01428K01429K01430K14048K00073K00926K01955K01956K00609K00610K00608K01465K17828K02823K00226K00254K13421K00762K01591K09903K00940K01937K00945K01494K00876K01081K11751K03787K00757K00761K02825K17722K17723K01464K06016K09020K16066K09019K00756K09913K10213K06966K01485K04765K00527K00525K00526K01520K00560K03465K01489K00758K03783K03784K15519K08722K01493K08728K00857K00943K01119K08693K16328K16329	345771.26999999996	282877.12	492446.89999999997	322259.26999999996	301108.64	266738.24	739022.45	240440.3	473669.7	274538.55	539135.84	242743	390323.43	425281.99	470366.23	486713.13	533455.47	631308.9
Poorly characterized	K02441K03558K03791K03796K06192K03810K02348K05811K06198K02617K04065K04477K06866K06877K06878K06886K06994K07001K07023K07025K15724K09014K09015K07038K07048K07058K07082K07100K07113K02426K07146K07153K04750K11740K11811K15640K03744K03925K03745K03747K05805K02742K03095K03749K03933K03748K03975K03808K01421K00389K08972K08974K08976K08981K08982K08983K08984K08986K08987K08988K08989K08990K08995K08996K09858K09914K11312K03931K05775K13256K06193K06860K06867K06871K06872K06873K06882K06883K06885K06887K06888K06889K06890K06893K06903K06904K06905K06906K06907K06908K06915K06918K06921K06922K06923K06926K06929K06931K06934K06938K06940K06945K06946K06950K06951K06952K06954K06956K06960K06962K06971K06973K06975K06976K06978K06987K06995K06996K07000K07002K07003K07004K07005K07006K07013K07014K07015K07017K07018K07019K07028K07030K07032K07033K07034K07035K07039K07040K07045K07051K07052K07054K07063K07064K07065K07068K07069K07071K07074K07075K07076K07078K07079K07080K07089K07090K07093K07095K07096K07097K07098K07099K07101K07105K07109K07112K07117K07118K07120K07121K07124K07126K07131K07133K07137K07138K07139K07140K07148K07149K07150K07157K07162K07164K08998K08999K09003K09004K09005K09009K09116K09117K09118K09122K09124K09126K09128K09129K09131K09133K09137K09138K09139K09141K09146K09155K09157K09158K09160K09161K09163K09164K09167K09384K09386K09388K09700K09701K09702K09703K09704K09705K09706K09707K09712K09726K09729K09740K09749K09762K09764K09766K09768K09769K09770K09775K09776K09777K09779K09780K09781K09786K09787K09790K09791K09792K09793K09794K09795K09797K09798K09799K09801K09802K09803K09804K09805K09806K09807K09824K05952K00243K09857K09859K09861K09862K09891K09894K09895K09896K09897K09898K09899K09901K09902K09904K09907K09908K09909K09910K09911K09912K09915K09917K09919K09920K09921K09922K09923K09924K09925K09926K09927K09928K09929K09930K09937K09939K09940K09941K09942K09943K09944K09946K09947K09954K09955K09956K09959K09960K09961K09962K09963K09964K09965K09968K09973K09974K09975K09976K09977K09978K09979K09982K09983K09986K09989K09992K05937K05967K05739K01163K07502K07584K07220K07276K07338K07586K07742	315979.2	242120.08	404755.64	276398.5	258095.23	239439.36	588930.89	185412.6	378958.57	217421.78	418452.69	184977.82	312281.61	325702.03	367987.7	395387.04	448895.47	481444.59
Protein families: genetic information processing	K17398K00558K02099K03490K18954K18991K13652K13653K10778K13530K03566K02521K03576K03717K04761K05596K11921K13634K13635K13636K13928K19242K19338K11534K02444K02530K02436K02081K02430K03436K03477K06283K06608K02529K02525K05499K03435K03484K03487K03604K06145K02103K03486K03489K03492K03710K10711K11922K03603K05799K13637K00375K18907K07979K11475K03577K18136K05501K09017K13770K16137K18992K03718K03719K05800K03556K01994K06075K15973K15974K18906K03713K08365K13640K03711K09823K02076K09825K13641K02624K05818K19333K10914K01420K13643K13771K03892K07110K03709K11924K10947K03481K19337K02171K03524K03557K03720K02688K07724K06211K13655K15773K18830K18831K10941K19505K15836K02584K02647K06714K02019K01926K03706K07726K07727K07729K07722K07723K03764K13821K18918K03480K03483K03488K03491K03493K18955K19339K09684K06284K04769K05527K03497K07736K02443K02531K05785K03402K02565K15545K02562K03705K03707K03708K03721K03567K03973K05311K05346K11531K06140K06285K02825K07733K07734K07735K06204K07738K09683K09685K12296K02250K14414K10843K03040K03043K03046K03048K03060K03086K03087K03088K03089K03090K03091K03093K03092K02405K03580K02600K03625K02601K03599K03600K07315K04749K04757K03597K03598K03803K06204K03624K04760K03628K13525K12585K18417K08300K08301K03685K12574K18682K12573K01167K13288K03698K03732K11927K05592K18692K03654K01689K00962K03628K00850K04043K04077K03666K00937K00970K08311K03563K02553K09893K06958K02967K02988K02990K02992K02996K02946K02948K02950K02954K02956K02959K02961K02963K02970K02863K02886K02906K02926K02931K02933K02939K02864K02867K02935K02871K02874K02876K02878K02879K02881K02884K02887K02888K02890K02892K02895K02899K02902K02907K02911K02913K02914K02916K02919K02945K02982K02986K02994K02952K02965K02968K02897K02904K02909K07590K03685K13288K14835K03595K03979K06204K02600K03625K02601K06183K02528K03500K00564K08316K09761K11392K03501K03438K07056K15984K06442K00563K03218K02427K06970K00783K06969K07115K12297K06968K06941K03215K03212K06177K06178K06179K06180K06181K06182K00561K03214K03789K03790K05844K03817K02860K14441K09136K02687K07320K18850K08300K08301K11145K05592K05591K05590K18692K06949K03977K14540K03665K06948K07566K01139K02834K09748K14761K09710K07042K07574K09889K05808K05809K06942K00784K01166K01167K00974K14415K01885K01881K01870K01869K01874K01886K01887K04567K01876K01872K01893K01880K01868K01875K01883K01873K01892K01889K01890K01866K01867K07560K15331K15429K07442K03439K06173K03177K06176K04487K11996K01409K07739K07566K00791K03650K03495K00773K01008K00685K01082K03536K03683K00989K01147K03684K01975K07559K06020K04566K01878K01879K14164K01884K01894K09759K09698K03976K19055K11991K05539K05540K05541K06168K18707K15256K15257K02533K04094K00557K00554K03214K00556K15396K06967K03216K15460K03437K06175K06177K00566K14058K04085K07237K07236K07235K11179K13628K06980K06169K15461K07568K06920K01737K10026K06879K09457K18979K09765K06917K03151K04075K15780K06957K14742K06925K12573K00962K18828K03113K02519K02520K06158K02357K02358K02355K03833K02835K02838K02493K01056K04794K02518K02356K04568K09906K02836K02837K02839K09890K15034K03694K03695K03696K03697K04086K03544K03667K04079K04043K04044K04045K04046K04077K03686K05516K05801K04082K04083K03687K13993K04762K04078K04771K03798K02108K03071K06006K07803K19778K09796K04651K04652K03533K01342K08651K01361K13275K14645K13277K14743K12373K03767K03768K03770K03772K03773K03774K03775K07533K03769K03771K03671K03672K05838K03674K03675K03676K07390K03673K03611K03981K04084K02199K00940K06027K13525K12472K07192K01551K01191K01267K00844K01623K00134K01834K00873K04079K06902K13908K13570K11996K04079K03432K03433K13527K13571K13572K13573K03469K10742K10747K00558K17398K05787K03530K04764K05788K02313K02314K02315K02316K03346K11144K03111K02337K03763K02338K02339K02340K02341K02342K02343K02344K03470K03471K02335K01972K06223K03645K10763K02469K02470K02621K02622K03168K03169K07739K00558K17398K18417K03685K13990K19332K01623K07192K14440K03746K05787K03530K04764K05788K05516K18997K02313K04047K03557K03666K05596K03719K06899K03632K03804K03633K03529K05896K06024K03590K05589K13052K09812K03587K03466K03586K03591K03589K03588K09811K03531K03528K09888K09892K18778K06916K01448K03585K06286K03610K03609K03608K04074K09772K05501K03645K03569K03570K03571K05837K03496K03497K02621K02622K03495K03501K04094K03733K04763K02499K03593K04095K03978K00567K01669K03648K03652K10800K03575K03660K10773K10771K10747K10843K03574K01520K10778K13530K03919K03649K01247K01246K10563K05522K01142K01151K05982K07462K01972K02335K03701K03702K03703K03657K03043K03046K03040K03048K03060K03723K03555K07456K03572K03573K01141K03601K03602K02337K03763K02338K02339K02340K02341K02342K02343K02344K03111K06223K07458K03582K03583K03581K03553K03550K03551K01159K04066K02686K04067K03546K03547K04485K03629K03655K03584K06187K03631K03700K03554K16898K16899K15342K19789K10979K01971K02469K02470K03168K05787K03530K07455K03557K04764K05788K03654K03746K02346K03502K03503K04479K01356K02336K14160K14161K14162K14623K03565K02347K03656K03658K03722K03724K00525K00526K06881K00412K02519K02520K02357K02358K02355K17675K02911K02990K02959K03595K01866K01869K01876K01880K01887K02433K02434K02435K01173K17680K03111K07277K04043K03687K04077K04078K03686K04487K04082K07390K03593K02258K02259K03217K14998K07152K04079	2311248.01	2028257.25	3423651.3699999996	2263425.17	2061789.89	1903745.41	4799204.96	1518673.51	3058417.21	1738477.17	3486676.1	1551841.82	2545281.07	2732459.59	3014580.85	3143865.4899999998	3470196.05	4025594.75
Protein families: metabolism	K11912K14949K07154K04757K08884K16692K07636K07768K07638K07640K07650K07641K07642K07644K07645K07646K07648K07649K07652K07653K07654K07769K10681K19081K14982K18345K18350K18351K18940K18986K02484K07673K07674K07777K07778K11617K07683K11691K11614K07704K08082K07706K12294K02478K07708K13598K07709K07710K02668K08475K10125K02482K03407K06596K11711K07717K07718K15011K00936K11527K01251K04608K00850K04079K06639K01079K03101K02654K02506K02278K06012K03605K08315K06383K01372K08586K01304K08589K19237K01951K07010K19224K13694K13695K00764K00265K00284K00820K01953K05520K03152K01442K07284K08600K08659K07813K16291K01256K01392K01414K01284K08602K09607K07386K01308K07260K08641K18866K17733K01407K06972K07263K01255K07751K01267K01273K01295K01439K13049K01258K01270K01436K01451K12940K12941K14665K05823K02083K19304K01265K01271K01262K08643K05994K00683K19689K01299K01305K03798K01261K18530K06013K03799K07387K01277K06402K11749K16922K16203K02172K07261K09933K01266K01318K04771K04772K04691K08372K01347K01342K08651K01361K13275K14645K13277K14743K17734K01322K01278K01303K01354K18574K07258K07262K07259K01358K01281K01338K04076K04770K07177K01356K03503K03100K13280K01259K01054K03797K08676K01434K04773K04774K05995K19225K06399K01297K03432K03433K01419K13051K00681K08303K03592K03568K13963K08276K06894K06910K04087K04088K07151K00721K00728K05286K08256K13668K14335K00720K03715K19002K19003K03429K00737K00752K12583K13677K13678K00785K16153K00703K16148K00694K00786K03814K05367K05365K05366K03693K12555K00748K02527K02841K02843K02849K12982K03279K12983K12984K02844K19354K12988K12995K12996K12997K07272K12998K12999K12990K12991K12992K13001K13002K13004K02851K02852K05946K00712K00692K13671K14337K14339K11387K13686K13687K16647K16648K03669K13688K16649K16650K16870K11936K19423K19424K19425K15914K17249K17250K17248K00697K16055K13693K16698K00748K00677K02536K02517K02560K03760K02535K16363K03269K00912K02527K02841K02843K02849K12982K02844K03279K12983K12984K12988K02850K12975K19353K19354K02847K00996K02851K13012K12990K12991K12992K12995K12996K12997K07272K12998K12999K13001K13002K13004K05789K18827K01627K00979K03270K06041K19715K19714K03271K03273K03272K03274K10012K12962K13015K02474K13016K13020K13017K13018K01791K13019K13010K00790K00075K01924K01925K01928K05362K15792K01921K11694K11695K05363K12554K01775K01776K01297K01000K02563K06153K19302K03980K05366K05365K05367K03693K12555K05515K03587K12552K12553K00687K12556K08724K18149K08384K05364K07258K07259K07262K03814K16291K08641K07260K18866K07261K13694K19304K19224K17733K07284K08600K08309K08304K08305K08306K08307K18691K01448K11066K03806K11533K00645K00648K00647K09458K00059K01716K02372K16363K00208K02371K10780K00209K18474K01071K10804K10805K10806K12500K00507K03921K00508K04784K12437K13611K01895K01908K01907K01905K12507K01897K12428K00666K00631K03621K08591K00655K13611K15654K02363K01252K02364K04784K00795K13787K13789K12503K00805K02523K00806K00801K02291K00791K02548K03179K14136K04566K01885K01886K09698K01894K01866K01867K01883K01887K01874K01870K01873K01869K04567K01876K01893K09759K01892K01880K01878K01879K01875K01881K01868K01872K01889K01890K01884K00812K00813K11358K00835K14260K14261K00832K14287K08969K14267K10206K00841K10907K00817K00639K00652K14155K00822K03918K00819K00818K00821K05830K07250K00823K00836K09251K00833K03851K01845K00824K00826K03342K03430K09469K00830K00831K13017K02805K13010K00517K02114K02112K02115K02111K02113K02109K02110K02108K02116	808463.1499999999	685806.99	1156195.76	765519.12	717390.3	660822.5499999999	1727350.07	524233.62	1105384.84	617220.79	1262262.25	547226.24	895498.03	923205.24	1050855.6	1103203.99	1209909.77	1437460.82
Protein families: signaling and cellular processes	K05651K14698K11085K11004K18104K18891K18892K18216K18217K18893K18887K18888K06147K12541K16299K12292K16012K16013K16014K06148K18230K18231K19349K19350K05685K06159K02471K15738K02021K02048K02046K02047K02045K02020K02018K02017K05776K05772K05773K06857K15576K15577K15578K02051K02050K02049K15552K10831K15553K15554K15555K02012K02011K02010K02064K02063K02062K11069K11070K11071K11072K11073K11074K11075K11076K02055K02053K02054K02052K02002K02001K02000K05845K05846K05847K15598K15599K15600K10108K10109K10110K10111K10112K15770K15771K15772K10117K10118K10119K10232K10234K17315K17316K17317K10238K10200K10201K10202K17329K17330K17331K17244K17245K17246K10188K10189K10190K10192K10193K10194K17241K17242K17243K17318K17319K17320K10540K10541K10542K10543K10544K10545K10546K10547K10548K10559K10560K10561K10562K10439K10440K10441K17202K17203K17204K17206K17213K17214K17215K17240K10120K10121K10122K05813K05814K05815K05816K07335K10555K10556K10557K10558K02067K02066K02065K18480K07323K07122K02027K02025K02026K02058K02057K02056K02069K02068K02040K02037K02038K02036K02044K02042K02041K10036K10037K10038K09997K09998K09999K10000K10001K10002K10003K10004K10039K10040K10041K09972K10005K10006K10007K10008K02424K10009K10010K16957K16958K16959K16960K10022K17062K01999K01997K01998K01995K01996K02073K02072K02071K11959K11960K11961K11962K11963K01989K05832K05833K17073K17074K17076K16961K16962K16963K02030K02029K02028K15580K15581K15582K15583K10823K12368K12369K12370K12371K12372K16200K16201K19226K19227K19228K19229K19230K15584K15585K15586K15587K10824K13889K13890K13891K13892K02035K02033K02034K02031K02032K13893K13894K13895K13896K02016K02015K02013K11601K11602K11603K09815K09816K09817K11704K11705K11706K11604K11605K11606K11607K11707K11708K11709K11710K09818K09819K09820K02009K02008K02007K02006K10094K16915K03523K16783K16784K16923K16924K16926K16927K16929K16785K16786K16787K16925K02077K02075K02074K11051K11050K09688K10107K09689K09690K09691K07091K11720K06861K09692K09693K09694K09695K09696K09697K19341K19340K16917K19310K19309K19084K11636K11635K19079K16905K16906K16907K09808K09810K02196K02195K02194K02193K09811K09812K02004K02003K01992K01990K09013K14347K14445K03327K18908K08138K06609K06610K03444K02532K02429K03289K11537K03762K08173K08177K03290K03535K08191K08194K08195K03449K05820K07784K11382K02445K07783K02575K08218K08151K07552K08153K19576K08156K08159K08161K08162K03445K19577K08152K03446K08167K08168K08166K08169K18926K18934K08217K18214K08221K08223K08224K06902K08219K08222K08368K08369K08483K02784K11183K02777K02779K02804K02803K02791K02765K02810K02757K02755K02753K02819K02750K02768K02770K02769K11202K11203K02798K02800K02786K02788K02759K02760K02761K02781K02783K02773K02774K02775K02794K02793K02795K02796K19506K19507K19508K19509K02771K02813K02814K02815K02744K02745K02746K02747K17464K17465K17466K17467K02821K02822K03475K02806K05881K06188K02440K10716K08714K03320K00799K03599K07114K19416K06212K02598K03282K05802K03442K16052K16053K06213K08717K03191K02556K02557K03561K03559K03562K03560K03284K06199K08994K08363K08364K18133K02024K07221K03286K11934K06076K12678K01347K12685K12516K19611K16090K16091K16092K16088K16089K16087K02014K15725K12340K12543K18903K18139K01991K07267K07277K17713K07287K05807K06186K07278K09800K09774K11719K04744K03643K11005K06518K11104K16209K16139K16210K16211K16248K11733K11734K11735K11737K11738K16234K16235K16237K03756K03758K16238K06296K06311K16264K13283K16267K07238K15726K07787K18902K18303K18095K18138K07788K07789K03297K11741K18924K18925K11742K11743K08978K15269K03298K11939K15270K05340K06216K02856K05786K09936K12962K09771K06155K06156K07084K03299K02526K07791K07792K03303K05020K02168K05245K03304K07300K07301K16331K14392K11928K14393K11102K11103K07862K03312K03313K03314K03315K11105K11745K11746K11747K11748K03498K03499K10974K02824K16169K16345K16346K06901K16323K03834K03835K03837K05782K09477K11106K07240K03321K03322K11688K11689K11690K03324K01551K03325K03326K05559K05560K05561K05562K05563K05564K05565K05566K05567K05568K05569K05570K05571K16694K06409K03980K03549K06895K11249K11250K07793K07794K07795K03548K16789K16788K09125K05595K03588K07243K07224K16301K07230K15383K03832K03640K03646K03641K15987K01571K01573K01615K13929K13931K06196K07312K07311K07309K07310K07306K07307K07308K00184K00185K03532K03533K07821K07812K08352K16293K16294K08357K08358K03543K15727K07798K11003K16300K12542K18901K18302K18094K03585K07799K13888K03811K04758K04759K17938K06189K02198K07507K07127K07245K07156K18814K07274K11004K11003K12340K12541K12542K12543K16300K16299K02450K02452K02453K02454K02455K02456K02457K02458K02459K02460K02461K02462K02463K02654K02650K02652K02653K02655K02656K02657K02658K02659K02660K02662K02663K02664K02665K02666K02669K02670K02671K02672K02673K02674K02676K08084K02278K02279K02280K12509K02282K02283K12510K12511K12512K12513K12514K12515K02651K12282K02679K02680K02681K02682K02504K02505K02507K02221K02237K01493K02238K02240K02241K02242K02243K02244K02245K02246K02248K02236K02250K03219K03220K03221K03222K03223K03224K04056K03225K03226K03227K03228K03229K03230K04058K04059K02400K02401K04061K02409K02411K02412K02417K02418K02419K02420K02421K13820K03194K03197K03198K03199K03200K03201K03203K03204K03195K03196K03205K12049K12050K12053K12055K03981K12203K12206K12214K12217K12222K07344K12678K01347K12685K12516K11017K11891K11892K11893K11895K11896K11900K11901K11902K11903K11904K11905K11906K11907K11910K11912K04338K06214K03070K03071K03072K12257K03073K03074K03075K03076K03106K03110K03210K03217K12268K12269K12270K03116K03117K03118K10954K11013K11014K11015K11041K11031K11005K03699K11017K11068K01114K01197K07636K07657K07658K07768K07776K07660K07638K07659K07661K07640K07662K07650K07770K07641K07663K07642K07664K07644K07665K07645K07666K07646K07667K07772K07648K07773K07649K07775K07652K07668K07653K07669K07654K07670K07769K10697K11329K10681K10682K19081K19082K14982K14983K18345K18344K18350K18349K18351K18352K18940K18941K18986K18987K02484K02483K07673K07684K07674K07685K07686K07777K07778K07693K07694K11617K11618K07683K07696K02479K02490K07699K11691K11692K11614K11615K07704K07705K08082K08083K07706K07707K12294K12295K02478K02477K07708K07712K13598K13599K07709K07713K07710K07714K02668K02667K08475K08476K10125K10126K11384K02482K02481K03407K03413K03412K13924K03415K06596K02657K02658K02488K11711K11712K07717K07719K07718K07720K15011K15012K00936K07183K11527K07814K03407K03408K03409K03410K03411K00575K03412K13924K03413K03414K03415K03406K03776K02411K02412K02413K02418K02419K02420K02421K13820K02400K02401K02410K02416K02417K02409K02394K02386K02393K02415K02408K02414K02387K02388K02389K02391K02392K02395K02390K02396K02397K09860K18475K02406K02407K02422K02423K02403K02402K02405K02556K02557K10941K02424K13626K02398K06603K02383K02385K02404K04562K02657K02658K02659K02660K06596K02667K02668K02669K02670K02650K02652K02653K02654K02656K02666K02665K02664K02663K02662K02676K02671K02672K02673K02674K02655K02651K02278K02279K02280K02282K02283K10380K06990K03569K18640K03531K03590K03610K03609K03608K03496K03497K04079K01623K01689K00134K00927K00873K03767K01273K03386K07192K04077K04043K01810K01278K01053K00088K02358K13525K02503K01121K00016K14347K01897K00626K01251K00939K00759K01755K01940K01758K01482K01464K01555K03841K13990K01206K00849K00700K00864K01915K01698K00457K01205K01724K01077K00058K00602K06013K00002K00382K03522K00261K00036K01803K01834K03098K15342K09951K07012K19088K19075K07464K19090K19091K19114K19115K19116K19117K19118K19119K19123K19046K19124K19125K19126K19128K19129K19134K09952K19137K07016K19138K09002K19139K19140K19076K09000K19142K01153K01154K03427K01155K06223K13581K07317K07318K07319K00571K00558K00590K01156K07316K07451K07452K19147K07448K19048K07171K07172K07723K18841K18842K06218K18918K18923K19157K07473K19158K19159K07154K15773K07339K18843K03973K19092K07746K07341K19165K19166K07334K18831K13651K13655K18828K18829K16214K18830K07062K19334K03531K03569K02621K02622K01885K19167K19168K09159K04487K19169K19170K19171K19172K19173K19174K19175K04608K04962K01278K06794K01197K15125K06794K01077K01194K01273K01197K06794K19097K00662K18815K18816K00984K05593K19299K00897K08151K08168K18214K18216K18217K18220K00561K18230K18231K19349K19350K08217K06880K19545K18234K19271K18554K08167K02172K02171K17836K07644K07665K18345K18344K07260K18346K18351K18352K08641K18350K18349K18348K18856K18866K18906K03367K03739K14188K03740K14205K19079K07660K03585K18138K18139K18302K18303K18094K18095K12340K18901K18902K18903K18907K18104K18908K07132K12472K04962	1578417.5999999999	1316931.14	2291848.14	1545970.1	1407907.78	1488769.21	3223923.46	951411.89	1974661.6500000001	1108721.35	2238600.45	970338.26	1652382.4000000001	1579964	1791505.66	1878509.83	2269325.58	2475879.56
Replication and repair	K02342K02337K03763K02343K02341K02340K02344K02339K02338K02314K02316K03111K03469K03470K03471K02335K01972K10742K10747K10563K05522K03660K10773K01247K01246K03649K03648K10800K03575K03652K01142K01151K10771K02335K07462K01972K10747K03723K03701K03702K03703K03657K02335K01972K10843K10747K03555K07456K03572K03573K03657K01141K03601K03602K07462K03111K02337K03763K02338K02343K02340K02341K02342K02339K02344K01972K06223K10747K07462K03111K03629K03584K06187K03553K02335K03550K03551K01159K03655K03582K03583K03581K02337K03763K02338K02343K02340K02341K02342K02339K02344K04066K02686K04067K10979K01971	380790.93	332738.61	556483.0399999999	369124.79	343331.25	305834.68	836069.86	264274.66	526295.43	304288.22	611485.6	272816.65	448900.51	479465.29	524706.01	540517.9	602809.77	713400.13
Signal transduction	K07636K07657K07658K01077K01113K07768K07776K02040K07660K09474K07638K07659K07661K07640K07662K04771K07650K07770K07641K07663K07642K07664K07799K07788K07789K07644K07665K07798K07787K07645K07666K02403K02402K02406K02405K02556K07646K07667K01546K01547K01548K07772K03532K03533K07648K07773K07649K07793K07794K07795K07775K02259K07652K07668K00689K00692K07653K07669K08372K07654K07670K02313K11601K11603K11602K07769K10697K11329K10681K10682K19084K19081K19082K19079K03367K03739K14188K03740K14205K11635K11636K14982K14983K18094K18095K18345K18350K18351K18344K18349K18352K08641K07260K18346K18856K18866K18348K18940K18941K18986K18987K19611K02490K07699K01910K01646K01644K01643K05964K05966K13927K09477K07792K11691K11692K11614K11615K00027K07704K07705K08082K08083K00066K09697K09696K07813K07706K07707K12292K12293K12294K12295K12296K07673K07684K07674K07685K00370K00371K00374K00373K00244K00245K00246K00247K07783K07686K07784K03563K01467K07777K07778K07693K07694K11617K11618K07683K07696K00990K04751K07708K07712K01915K13598K13599K02584K07709K07713K07803K07710K07714K01034K01035K02106K00626K08478K08475K08476K11382K10125K10126K11103K02668K02667K03092K02650K11384K06282K06281K03620K00575K13924K03406K03776K03408K03407K03413K03412K03415K02660K02659K06596K02657K02658K02488K11711K11712K11688K11689K11690K08357K08358K10941K10004K10002K10003K10001K05597K10914K07717K07719K01425K11626K07718K07720K15011K15012K00411K00412K00413K08738K00404K00405K15862K00407K00406K00425K00426K12340K01991K01104K16692K01791K02472K01051K01179K19668K07165K02398K04564K00940K17686K03781K03781K04962K00510K00844K00850K00134K01623K01689K00927K00016K00161K00162K03781K04564K01596K04962K01092K00901K00981K00901K04608K04962K04079K01596K03841K00850K01596K00021K00507K01578K14486	262579.29	186740.45	350738.70999999996	222963.72	210417.97	238558.16999999998	498395.09	135933.75	290940.7	163685.57	330606.09	140604.44	249308.45	257325.99	267813.55	275733.49	345164.35	343687.45
Signaling molecules and interaction	K04608	0	0	0	0	0	0	488	18	0	0	33	0	0	0	3	0	0	0
Substance dependence	K00274K00274K00274	0	0	0	0	0	0	33	9	0	24	42	15	22.5	0	6	6	27	6
Transcription	K03040K03043K03046K03048K03060K10843	19719.039999999997	17877.37	30515.829999999998	19693.129999999997	18577.18	17135.55	46544.31	16098.4	27676.4	18140.239999999998	32691.460000000003	14938.98	24976.04	26930.8	29283.32	30131.07	35889.28	39564.22
Translation	K02945K02967K02982K02986K02988K02990K02992K02994K02996K02946K02948K02950K02952K02954K02956K02959K02961K02963K02965K02968K02970K02863K02886K02906K02926K02931K02933K02935K02939K02864K02867K02871K02874K02876K02878K02879K02881K02884K02887K02888K02890K02892K02895K02897K02899K02902K02904K02907K02909K02911K02913K02914K02916K02919K07590K01885K09698K02433K02434K02435K01886K01872K01876K09759K01893K01880K01878K01879K14164K01868K01875K01042K01883K01884K01874K00604K01873K01869K01870K04567K04566K01887K01881K01892K01889K01890K01866K01867K00784K00974K03113K03685K13288	423209.06999999995	380796.58999999997	646461.25	429754.07	382136.08	349807.81	982939.4999999999	313738.32	634435.71	353105.7	725438.25	320065.75	530094.86	558222.02	612245.9400000001	627389.32	700896.4199999999	822844.84
Transport and catabolism	K12472K01201K01205K01195K01206K12373K01192K01186K01197K01134K01135K01444K01897K03426K01578K00803K00869K00830K00031K01640K03781K04565K04564K11147K06027K06902	54109.22	23464.75	31178.769999999997	20357.62	45979.53	15412	59019.77	15265.7	41834.47	22691.44	47109.65	22646.47	33209.87	46701.5	47969.4	47589.77	44091	58633.31
Unclassified: genetic information processing	K02466K03623K03704K07741K15834K02589K02590K04752K16509K06959K07743K13926K07570K07571K07576K07577K06891K19411K03545K17247K02380K03187K03188K03189K03190K03192K03664K04653K04654K04655K04656K06191K07391K07395K07396K07397K07399K07400K07402K07403K16511K07443K07445K07454K03630K09760K07457K07459K07460K07461K07465K04096K02086K07467K07474K06909K07477K07478K07479K06919K07505K07501K07480K07481K07482K07483K07484K07485K07486K07488K07491K07492K07494K07496K07497K07498K14059K03969K03972K07504K09747	77783.22	78164.84	128490.79	98470.23	78199.35	85584.95999999999	209341.52	61532.7	122529.68000000001	70539.68	141425.51	59482.17	101599.42	100988.39	121436.93000000001	128790.72	155144.09	167833.85
