OTUID	All	East	North	Outside	South
OTU_1250	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1251	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1253	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1254	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1255	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1256	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1257	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1258	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_126	0.027233	0.04668534	0.00000000	0.00000000	0.00000000
OTU_1260	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1262	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1263	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1267	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1269	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1270	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1271	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1272	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1273	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1274	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1275	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1276	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1277	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1278	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1279	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_128	0.027233	0.04668534	0.00000000	0.00000000	0.00000000
OTU_1281	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1282	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1283	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1284	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1285	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1286	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1287	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1288	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1289	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1290	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1292	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1293	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1294	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1295	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1296	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1297	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_130	0.027233	0.04668534	0.00000000	0.00000000	0.00000000
OTU_1301	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1302	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1303	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1304	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1305	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1307	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
