Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Devosia	1.64	1.42	1.66	1.66	2.82	2.01	1.2	1.63	0.83	1.34	1.36	1.07	0.85	1.08	1.18	0.88	1.29	1.56	1.3
Conexibacter	0.52	0.49	0.26	0.29	0.22	0.6	0.82	0.59	0.41	0.46	0.54	0.78	0.4	0.25	0.4	0.25	0.47	0.42	1.3
Mesorhizobium	0.93	0.94	0.71	0.99	0.68	1.04	0.91	0.8	0.63	0.75	0.88	0.95	0.78	0.62	0.87	0.89	0.88	0.72	1.2
Nevskia	0.84	0.99	0.64	0.59	0.35	0.76	1.16	0.91	0.83	0.76	0.99	0.96	0.64	0.83	0.95	1.13	0.76	1.17	1.2
Rhizobium	1.44	0.57	1.24	1.17	1.23	1.2	1.05	0.97	0.85	0.99	1.22	1.74	0.66	0.66	0.9	1.01	0.83	0.62	1.1
Actinoplanes	2.9	4.58	2.37	3.01	1.22	3.34	2.92	4.04	4.6	3.07	3.96	3.11	3.69	3.03	3.5	3.08	4.23	3.55	1.1
Flavobacterium	1.6	1.75	7.15	2.36	4.32	1.76	1.44	7.06	6.55	4.67	2.02	1.99	3.86	4.34	2.72	1.66	3.75	4.47	1.1
Chryseotalea	0.61	0.38	0.12	0.09	0.32	0.04	0.68	0.32	0.46	1.47	0.3	0.41	0.51	0.37	0.77	0.63	0.2	0.38	1.0
Micromonospora	0.64	0.78	1.06	0.24	0.35	0.46	0.6	1.22	1.47	0.84	0.74	0.86	0.67	0.5	0.64	0.6	0.43	0.55	1.0
Chryseolinea	0.4	0.26	0.08	0.2	0.04	0.08	0.8	0.55	0.63	0.61	0.7	0.32	0.52	0.65	0.63	0.76	0.36	0.49	1.0
Variovorax	2.26	1.77	2.03	2.21	3.04	2.56	1.68	2.62	3.16	2.14	3.02	2.17	2.27	2.09	2.77	3.2	3.3	3	1.0
Aquincola	11.4	7.22	11.4	11	14.8	11.2	4.34	3.29	6.39	6.82	6.01	4.81	7.26	8.68	5.44	6.46	7.57	6.59	0.9
Lentzea	2.89	6.03	3.09	2.28	2.37	2.68	2.56	2.6	2.29	2.68	3.71	2.84	4.35	3.37	4.19	3.93	2.78	2.79	0.8
Chloroflexus	0.42	0.52	0.14	0.37	0.33	0.26	0.33	0.4	0.41	0.41	0.39	0.32	0.66	0.35	0.39	0.43	0.24	0.38	0.8
Nannocystis	0.17	0.16	0.12	0.22	0.16	0.23	0.31	0.18	0.17	0.17	0.28	0.23	0.27	0.23	0.24	0.18	0.29	0.21	0.8
Paraburkholderia	0.24	0.14	0.16	0.19	0.1	0.2	0.24	0.16	0.25	0.22	0.26	0.28	0.17	0.28	0.2	0.12	0.21	0.22	0.8
Aetherobacter	0.79	0.76	0.87	0.39	0.57	1.39	0.89	0.36	0.47	1.04	0.62	0.72	1.15	0.54	0.76	0.65	0.65	0.71	0.7
Mycobacterium	0.51	0.65	0.53	0.27	0.14	0.17	0.43	0.35	0.27	0.37	0.28	0.37	0.37	0.19	0.66	0.33	0.35	0.28	0.7
Ramlibacter	0.72	0.69	0.49	0.46	0.75	0.76	0.45	0.35	0.62	0.56	0.53	0.74	0.4	0.55	0.52	0.68	0.43	0.33	0.7
Arenimonas	0.22	0.12	0.45	0.23	0.49	0.33	0.22	0.12	0.19	0.22	0.53	0.26	0.13	0.24	0.35	0.27	0.3	0.26	0.7
Pseudonocardia	0.29	0.46	0.63	0.43	0.13	0.33	0.41	0.47	0.34	0.31	0.34	0.41	0.39	0.33	0.28	0.58	0.31	0.41	0.7
Saccharothrix	0.41	0.52	0.17	0.21	0.09	0.3	0.27	0.39	0.21	0.21	0.4	0.35	0.54	0.23	0.67	0.14	0.14	0.22	0.7
Dongia	0.47	0.63	0.28	0.29	0.16	0.27	1.16	0.75	0.69	0.55	0.64	0.71	0.53	0.49	0.57	0.7	0.29	0.47	0.7
Agromyces	0.63	1.34	0.82	0.87	0.54	0.62	0.82	1.13	0.8	0.89	0.93	0.88	0.84	0.6	0.97	0.88	0.72	1	0.7
Piscinibacter	2.08	2.29	2.12	2.46	2.91	2.46	1.56	1.48	2.12	2.15	2.3	1.8	2.09	2.9	2.39	3.09	2.01	2.14	0.7
Pseudorhodoplanes	0.63	0.7	0.73	0.83	0.28	0.83	0.91	0.36	0.35	0.43	0.49	0.59	0.28	0.16	0.61	0.68	0.25	0.5	0.7
Rhizobacter	7.29	3.25	4.74	4.75	8.41	4.63	4.31	3.91	4.98	5.74	5.03	3.88	6.32	9.84	5.75	5.59	7.25	5.24	0.7
Aeromicrobium	0.39	0.71	0.81	0.52	0.53	0.41	0.17	0.35	0.34	0.4	0.35	0.36	0.31	0.27	0.41	0.42	0.28	0.41	0.6
Aquabacterium	0.96	0.79	0.91	1.12	1.85	1.02	1.04	0.84	1.01	1.01	1.34	0.77	0.86	1.4	1.41	1.31	0.9	0.98	0.6
Pseudomonas	0.38	0.26	0.22	0.28	1.13	0.35	0.84	2.26	0.37	2.31	1.2	1.99	0.15	0.18	0.43	0.24	1.03	0.56	0.6
