Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Romboutsia	0.00313	0.00625	0.0187	0.00313	0.00937	0.00313	0.025	0.00625	0.00937	0.00937	0.00937	0.0469	0.00313	0.0156	0.00625	0.00313	0.00937	0.00937	0.0
Turicibacter	0.00313	0.0125	0.0125	0.00313	0	0.00313	0.0156	0.00937	0.0125	0.00625	0.0125	0.0313	0.0125	0.00625	0.0156	0.00313	0.00313	0.00625	0.0
Rhodanobacter	0.0594	0.0406	0.05	0.0344	0.0781	0.0656	0.0469	0.025	0.103	0.0531	0.025	0.0469	0.1	0.05	0.0469	0.0438	0.0562	0.0531	0.0
Tetrasphaera	0.00313	0.00937	0	0	0	0.00937	0.00937	0.00937	0.00313	0	0	0.0187	0.00313	0.00313	0.00313	0.00313	0	0.00937	0.0
Thioalkalivibrio	0	0.00625	0	0	0	0	0.0125	0	0.00313	0.00625	0	0	0.00313	0	0.00625	0	0	0.00937	0.0
Stenotrophomonas	0.00313	0.00313	0	0	0.00313	0.00313	0.0156	0	0.0156	0.00937	0.00625	0.00625	0	0.00937	0.0156	0.00313	0.00313	0	0.0
Vasilyevaea	0.0125	0.0125	0.00937	0.00625	0	0.0187	0.0156	0.025	0.0187	0.0156	0.0219	0.0281	0	0.00313	0.0156	0.0156	0.00937	0.0281	0.0
Roseimicrobium	0	0.00313	0.00625	0	0.00937	0.00313	0.0187	0.0156	0.00937	0.00625	0.0187	0.00937	0.00625	0	0.00937	0.00625	0	0	0.0
Rudaea	0	0.0125	0	0.00625	0	0	0.0125	0	0	0	0.00313	0.00313	0	0	0	0.0625	0.00313	0.00625	0.0
Roseiflexus	0.0562	0.112	0.0219	0.0562	0.103	0.0406	0.0594	0.0719	0.0469	0.106	0.0594	0.0656	0.103	0.05	0.0938	0.0687	0.0531	0.0969	0.0
Starkeya	0.00937	0.00625	0	0	0.00313	0.0281	0.00625	0.0125	0.00313	0.00625	0.0125	0.0125	0	0	0.00313	0.00313	0	0.00313	0.0
Umezawaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159	0	0	0	0.0
Geodermatophilus	0.0156	0.0187	0.00313	0.0125	0.00937	0.00625	0.0125	0.0313	0.00937	0.00937	0.0125	0.025	0.00313	0.00313	0.00937	0.0187	0.0219	0.00625	0.0
Gordonia	0.00313	0.00937	0.0187	0.00313	0.00625	0.00313	0.00625	0	0	0.00313	0.00625	0.00937	0	0	0	0.0125	0.00313	0.00313	0.0
Gp11	0	0	0	0	0	0	0.0125	0	0.00937	0	0.0125	0.0125	0	0.00313	0.0125	0.00313	0.00625	0.00313	0.0
Dokdonella	0.00937	0	0.0156	0	0.00313	0.00625	0.00625	0.0219	0.00625	0.0156	0.0125	0.00625	0.00625	0.0125	0.00625	0.0187	0.00937	0.075	0.0
Enterobacter	0	0	0	0.00625	0	0	0.00313	0	0	0.025	0	0.0187	0	0	0	0	0	0	0.0
Fictibacillus	0.00625	0.0156	0.0156	0.00625	0.00625	0.0125	0.0125	0.00937	0.00937	0.00625	0.0156	0.0187	0	0.00625	0.00937	0.00937	0.0219	0.00625	0.0
Gp5	0.0125	0.00937	0	0.00313	0.00313	0.00625	0.0187	0.00313	0.0156	0.0219	0.0125	0.0156	0.00313	0.00937	0.0156	0.0156	0.00313	0.00937	0.0
Hydrogenophaga	0.237	0.0531	0.1	0.166	0.756	0.075	0.0875	0.172	0.0438	0.35	0.216	0.125	0.0969	0.0187	0.144	0.159	0.103	0.175	0.0
Ignavibacterium	0.00313	0.00937	0	0.00937	0	0.0344	0.00313	0.00625	0	0.0875	0	0	0	0	0.00625	0	0.00313	0.0219	0.0
Inhella	0.0594	0.0219	0.0531	0.075	0.0375	0.103	0.0219	0.0219	0.0844	0.0469	0.0562	0.0687	0.1	0.0594	0.0313	0.0469	0.0781	0.0344	0.0
Gp7	0.00625	0.00313	0	0.00937	0.00313	0.00937	0.00625	0.00937	0.00625	0.00937	0.00313	0.00313	0.0156	0	0	0.00937	0	0.00313	0.0
Gracilibacillus	0	0.00625	0.00625	0.0656	0	0	0.00625	0.00625	0.00313	0	0	0.0125	0.00937	0	0.00313	0.00313	0	0.00313	0.0
Herbaspirillum	0.075	0.00937	0.0156	0.0344	0.025	0.0375	0.0125	0.00625	0.0313	0.0281	0.0125	0.025	0	0.0219	0.00937	0.00625	0.0125	0.00937	0.0
Aridibacter	0	0	0.00313	0	0.00313	0	0.00937	0.00313	0.00625	0.00937	0.00313	0.0156	0.0125	0	0.00937	0.00625	0.00313	0.00313	0.0
Armatimonas/Armatimonadetes_gp1	0	0.00313	0.00313	0	0.00625	0	0.0125	0.00937	0.00937	0.00937	0.00313	0.00625	0.0156	0.00313	0	0	0.00625	0.00937	0.0
Asticcacaulis	0.0281	0.0125	0.025	0.112	0.0781	0.05	0.0281	0.0156	0.0375	0.00937	0.0125	0.0187	0.00625	0.103	0.00937	0.05	0.0469	0.0187	0.0
Actinocorallia	0.675	0.778	0.134	1.06	0.309	0.444	0.406	0.722	0.369	0.662	0.644	0.4	0.9	0.8	0.559	0.688	0.484	0.513	0.0
Aggregicoccus	0.00313	0	0	0.00313	0	0	0.00313	0.00313	0.00313	0.00625	0	0.00313	0	0	0.0375	0.00625	0	0	0.0
Ammoniibacillus	0.00313	0.0125	0	0.00937	0.0187	0.00625	0	0.00937	0.00625	0	0.00937	0.00313	0	0.00313	0	0.00313	0	0	0.0
Azohydromonas	0.0156	0	0	0	0.00313	0.00937	0.0531	0.00313	0.00313	0	0.00625	0	0	0.00313	0	0	0	0.00313	0.0
Clostridium_III	0.00937	0	0	0.00313	0	0	0.00937	0.00937	0.0187	0	0.00937	0.0125	0.00313	0.00313	0.00313	0	0.00313	0.00625	0.0
Clostridium_XI	0.00313	0.0156	0.00313	0	0	0.00313	0.00313	0.00625	0	0.00625	0.0125	0.0187	0	0.00313	0.00313	0.00313	0.00313	0.00313	0.0
Cryptosporangium	0.00625	0	0.00313	0	0	0.05	0.0125	0.0125	0.00937	0.00625	0.00625	0.0281	0.00313	0	0.0125	0.00937	0.0344	0.00313	0.0
Blastocatella	0.00313	0.00313	0	0	0	0.00313	0.00937	0.00937	0.00313	0.00313	0	0.00937	0.00937	0	0.00313	0.00937	0	0.00937	0.0
Caenimonas	0.0219	0.0125	0.025	0.025	0	0.0531	0.00625	0.00937	0.00937	0.00937	0.0219	0.0156	0.0125	0.00625	0.00937	0.0125	0.00937	0.00625	0.0
Chitinophaga	0	0	0	0	0	0	0.00625	0.00625	0.0125	0.00625	0.00313	0	0	0	0.00313	0.00625	0.00625	0.00313	0.0
Inquilinus	0	0.0125	0	0.00625	0	0.00625	0.0125	0	0.00625	0.0187	0.00625	0.00937	0.00313	0	0.00937	0.0125	0.00313	0.00625	0.0
Ochrobactrum	0.00313	0	0.0344	0	0.0125	0.0313	0.00313	0.00313	0	0.00625	0.00625	0	0.00313	0.0156	0	0.0125	0.0125	0.00313	0.0
Oligoflexus	0.00625	0.00625	0	0	0	0	0.0219	0.0281	0.00313	0	0.0156	0.0156	0.00937	0.00937	0.00313	0.00937	0.00937	0	0.0
Paenisporosarcina	0.0156	0.00313	0.025	0.00625	0	0.00625	0.0187	0.00313	0.00937	0.00625	0.0219	0.0156	0	0.00625	0.00625	0.0187	0.00313	0.00937	0.0
Nitrososphaera	0.00313	0.00937	0	0	0	0	0.00937	0.00937	0.00313	0	0.00313	0.0187	0.00937	0	0.00313	0.00937	0.00313	0.00937	0.0
Nitrosospira	0.0156	0.00625	0	0.0156	0	0.00313	0.00937	0.00313	0.00313	0.00625	0.00313	0.0281	0.0125	0.00625	0.00937	0.00625	0.00313	0.00625	0.0
Novosphingobium	0.0125	0.0219	0.0313	0	0.00313	0	0.00625	0.00625	0.0156	0.0156	0.00937	0.0187	0.00313	0.00625	0.0406	0.00625	0.00313	0.0125	0.0
Pelagibius	0	0	0.0406	0	0	0	0	0	0	0.00313	0	0	0	0	0	0	0	0	0.0
Polyangium	0.025	0.025	0.0125	0.0281	0.00937	0.0594	0.0438	0.0281	0.0125	0.0125	0.025	0.0375	0.025	0.0156	0.00937	0.0125	0.0125	0.0187	0.0
Povalibacter	0	0	0.0156	0	0	0	0.00937	0.00625	0.00625	0.00313	0.00313	0.0125	0	0	0.00937	0.00313	0	0.00937	0.0
Pseudolabrys	0.0375	0.0687	0.0156	0.05	0.0281	0.0313	0.0656	0.0313	0.0531	0.0219	0.0281	0.0531	0.025	0.0344	0.0187	0.0156	0.0219	0.0313	0.0
Phycicoccus	0	0.00313	0	0	0.00625	0	0.00937	0.00625	0	0.00313	0.00313	0	0	0	0.00625	0	0.00625	0.00313	0.0
Planosporangium	0.0219	0.0125	0	0.00313	0.00313	0	0.00937	0.0156	0.0156	0.0156	0	0	0.00313	0.00313	0.00313	0	0	0.00313	0.0
Polaromonas	0.184	0.209	0.188	0.181	0.278	0.2	0.0813	0.0844	0.141	0.15	0.147	0.219	0.134	0.156	0.141	0.131	0.2	0.0969	0.0
Leptospira	0	0	0	0	0	0	0.00313	0	0.00625	0.00313	0	0.00313	0.00625	0.00625	0.00625	0.0219	0	0	0.0
Luedemannella	0	0.0125	0.00313	0	0	0.00313	0	0	0.00625	0	0.00313	0.00937	0.00313	0	0	0.00313	0.00313	0	0.0
Luteolibacter	0	0	0.0281	0	0	0	0.0187	0.0187	0.0156	0.00937	0.0281	0.0375	0.0219	0.0187	0.00625	0.0187	0.0125	0.00625	0.0
Isoptericola	0.0125	0.0125	0.00313	0.00625	0.00937	0.0125	0.00625	0.0187	0.0219	0.0125	0.025	0.00625	0.0313	0.025	0.0344	0.0187	0.00625	0.0219	0.0
Kaistia	0.00937	0.00937	0.0156	0.00313	0	0.0125	0.00625	0.00625	0.0125	0.00313	0.00625	0.00625	0.00313	0	0	0	0.00625	0.00625	0.0
Lacibacter	0.00313	0.00313	0	0.00625	0	0.00313	0.00313	0.00313	0.0125	0.0125	0.00313	0.0125	0.00625	0.00625	0.00625	0.00625	0.00937	0.00313	0.0
Lutispora	0.0219	0.0125	0	0.0187	0	0.00313	0.00625	0.00937	0.00313	0.00313	0.00313	0.0219	0.00937	0	0	0.00313	0	0	0.0
Methylovorus	0	0	0	0	0	0	0.00313	0.00625	0	0.00313	0	0	0.0219	0.00937	0.00625	0.00625	0.00625	0.0156	0.0
Microlunatus	0.0344	0.00937	0	0.0125	0.00313	0.0125	0.0375	0.0125	0.00625	0.0156	0.00313	0.0313	0.0125	0.00625	0.0125	0.0156	0.00937	0.0187	0.0
Neochlamydia	0.00313	0.00313	0	0	0	0	0.00937	0.00937	0	0	0	0.00625	0.00313	0.00313	0.00937	0	0	0	0.0
Mangrovibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0469	0	0	0	0.0
Methylophilus	0.00313	0	0	0	0.0125	0.00625	0.00313	0.00625	0.0125	0	0.00625	0.00937	0.00313	0.0125	0.0156	0.0187	0.00313	0.00625	0.0
Methyloversatilis	0.00313	0	0.00313	0.00625	0.00313	0.0125	0.00313	0.00625	0	0.00937	0.00313	0	0.00625	0.00937	0.00313	0.0125	0.0125	0.0156	0.0
