OTUID	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	OTUID2	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1134	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1134	Bacteria	Cyanobacteriota	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus MBIC10613	Synechococcus sp. MLCB
OTU_1135	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1135	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Roseivirga	uncultured marine bacterium
OTU_1136	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1136	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	RS62 marine group	uncultured marine bacterium
OTU_114	1	0	1	0	0	1	0	0	0	0	0	0	OTU_114	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Incertae Sedis	uncultured bacterium
OTU_1140	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1140	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Incertae Sedis	uncultured bacterium
OTU_1141	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1141	Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Clade III	Incertae Sedis	uncultured bacterium
OTU_1142	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1142	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	MWH-UniP1 aquatic group	Incertae Sedis	uncultured beta proteobacterium
OTU_1144	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1144	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Incertae Sedis	uncultured gamma proteobacterium
OTU_1145	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1145	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nodularia PCC-9350	Nodularia spumigena CCY9414
OTU_1146	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1146	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	uncultured bacterium
