#OTUID	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
ASV_1384	3	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1442	0	0	0	0	0	0	0	0	11	0	0	0	5	0	0	0	0	0
ASV_852	0	0	0	0	0	0	32	1	0	0	0	0	0	0	0	1	0	0
ASV_923	0	0	0	0	0	0	2	6	0	0	0	6	0	0	0	17	1	13
ASV_937	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1012	7	2	9	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1027	0	0	0	0	0	0	0	0	6	0	0	0	4	0	0	3	3	6
ASV_1133	1	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1197	0	0	0	0	0	0	1	0	0	0	17	15	2	0	2	9	0	1
ASV_1277	0	0	0	0	0	0	2	0	0	0	0	0	7	0	5	17	3	0
ASV_691	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_849	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1022	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1112	0	0	0	0	0	0	0	10	0	0	0	4	3	0	3	12	1	0
ASV_1232	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1339	0	0	0	0	0	0	0	0	0	1	0	6	17	0	0	3	5	0
ASV_1157	0	0	0	0	0	0	2	25	0	0	0	0	0	3	0	0	0	0
ASV_1518	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	5
ASV_815	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1078	1	8	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1308	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	24	0	0
ASV_1312	3	3	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0
ASV_830	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV_919	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1046	1	4	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1152	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	11
ASV_1302	0	0	0	0	0	0	3	4	0	16	0	0	0	4	0	2	0	2
ASV_1510	0	0	0	0	0	0	0	1	0	2	0	4	0	0	2	13	0	17
ASV_843	2	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_872	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_918	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_991	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1267	8	5	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
