Family	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	All
GWF2-29-10	0	0	0	0	0	0.719	0	0	0	0	0	0	0.0
67-14	0	0	0.719	0	0	0	0	0	0	0	0	0	0.0
Fusobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Geitlerinemaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Halomonadaceae	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Gallionellaceae	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Oligosphaeraceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Oscillatoriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Oxalobacteraceae	0	0.719	0	0	0	0	0	0	0	0	0	0	0.0
OM182 clade	0	0	0	0	0	0	0	0.719	0	0	0	0	0.0
Oceanospirillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Desulfobaccaceae	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Desulfatiglandaceae	0	0	0	0	0	0	0	0	0	0.719	0	0	0.0
Desertifilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Prochlorotrichaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
P13-46	0	0	0	0	0	0	0	0	0	0	0	0	0.0
PBS-18	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Paenibacillaceae	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
Nitrosococcaceae	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Microscillaceae	0	0	0	0	0	0	0.719	0	0	0	0	0	0.0
Morganellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Myxococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Marinomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Methylophagaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Entotheonellaceae	0	0	0	0	0	0	0	0	0	0	0	0.719	0.0
Nevskiaceae	0	0	0.719	0	0	0	0	0	0	0	0	0	0.0
Nitrococcaceae	0	0	0	0	0	0.719	0	0	0	0	0	0	0.0
Nitrococcales Incertae Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Desulfomicrobiaceae	0	0	0	0	0	0	0	0	0	0.719	0	0	0.0
Nannocystaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Neisseriaceae	0	0	0	0	0	0	0	0	0.719	0	0	0	0.0
