#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_245	19	30	57	11	4	18	38	25	21	15	21	36	10	8	19	15	23	35
ASV_194	18	36	7	18	33	13	19	23	15	34	19	21	33	16	30	22	17	31
ASV_218	15	19	1	149	14	34	13	10	11	7	11	11	19	13	59	6	0	12
ASV_235	17	35	40	4	2	6	28	31	18	20	26	15	14	33	42	27	6	40
ASV_215	21	41	55	8	1	24	15	15	36	19	7	12	15	14	24	28	51	15
ASV_216	30	56	8	26	6	7	25	34	21	26	30	21	37	8	20	15	7	22
ASV_201	79	23	22	30	86	35	7	3	10	10	8	2	15	13	12	11	11	21
ASV_238	15	43	32	16	27	39	22	17	11	12	21	20	12	14	23	18	35	21
ASV_212	12	16	22	29	28	24	17	16	22	24	28	16	20	17	43	22	17	24
ASV_208	16	8	3	1	4	44	27	31	10	15	18	25	30	6	8	24	73	51
ASV_328	25	22	30	21	22	60	15	13	19	18	20	18	26	13	11	26	21	13
ASV_222	24	10	40	4	1	12	23	15	29	20	32	25	11	35	32	18	14	44
ASV_232	22	20	65	65	7	21	22	22	7	13	32	12	7	7	15	29	6	16
ASV_214	31	20	17	9	8	13	38	16	16	28	30	34	10	31	36	20	10	17
ASV_225	9	8	23	25	71	11	8	8	12	26	18	9	18	78	14	9	28	9
ASV_223	99	2	5	8	87	0	9	6	28	3	10	7	9	1	71	19	6	12
ASV_236	8	32	17	30	10	13	20	28	24	16	33	27	21	24	20	16	23	17
ASV_243	21	24	7	5	8	22	6	13	10	17	35	33	93	12	12	8	28	25
ASV_289	17	12	11	8	7	7	18	45	29	26	30	37	15	7	20	46	11	28
ASV_205	18	25	17	15	20	13	16	24	18	28	13	22	34	27	28	29	13	11
ASV_221	17	34	0	2	45	57	3	71	7	10	13	6	2	42	41	16	2	3
ASV_276	26	14	22	33	6	13	35	8	18	16	17	21	13	11	31	31	27	28
ASV_256	16	24	17	13	5	18	26	45	18	23	22	16	27	18	25	11	15	31
ASV_231	17	23	16	12	9	5	5	7	130	11	32	6	10	6	10	17	32	22
ASV_229	13	22	16	8	10	13	27	13	11	16	27	24	21	24	28	26	30	39
ASV_233	26	15	32	35	20	14	16	14	39	9	13	18	12	23	22	32	17	11
ASV_249	12	15	18	18	59	19	16	13	12	19	15	18	24	46	12	12	25	14
ASV_234	21	27	18	18	21	32	15	11	26	19	17	23	16	26	22	28	15	12
ASV_242	23	37	14	17	9	27	17	14	22	17	24	25	22	26	31	12	7	22
