OTU	Group
ASV_301	plaque
ASV_312	plaque
ASV_327	plaque
ASV_338	saliva
ASV_428	plaque
ASV_451	plaque
ASV_586	plaque
ASV_653	saliva
ASV_676	saliva
ASV_699	saliva
ASV_766	feces
ASV_776	feces
ASV_818	feces
ASV_945	plaque
ASV_985	plaque
ASV_1064	saliva
ASV_1176	saliva
ASV_268	saliva
ASV_269	saliva
ASV_285	feces
ASV_291	feces
ASV_320	plaque
ASV_326	plaque
ASV_339	saliva
ASV_365	saliva
ASV_378	feces
ASV_379	feces
ASV_386	feces
ASV_389	feces
ASV_391	feces
ASV_399	All
ASV_399	feces
ASV_432	plaque
ASV_434	plaque
ASV_490	saliva
ASV_516	feces
ASV_524	feces
ASV_542	feces
ASV_546	feces
ASV_615	plaque
ASV_622	plaque
ASV_633	plaque
ASV_639	plaque
ASV_647	saliva
ASV_662	saliva
ASV_715	saliva
ASV_742	feces
ASV_745	feces
ASV_753	feces
ASV_806	feces
ASV_807	feces
ASV_915	plaque
ASV_950	plaque
ASV_1026	saliva
ASV_1027	saliva
ASV_1084	saliva
ASV_1099	saliva
ASV_1109	saliva
ASV_270	saliva
ASV_284	feces
ASV_295	All
ASV_295	feces
ASV_319	plaque
ASV_346	saliva
ASV_390	feces
ASV_397	feces
ASV_415	plaque
ASV_549	feces
ASV_604	plaque
ASV_609	plaque
ASV_620	plaque
ASV_651	plaque
ASV_673	saliva
ASV_749	feces
ASV_779	feces
ASV_784	feces
ASV_793	feces
ASV_795	feces
ASV_805	feces
ASV_817	feces
ASV_824	feces
ASV_825	feces
ASV_894	plaque
ASV_920	plaque
ASV_923	plaque
ASV_253	plaque
ASV_302	plaque
ASV_317	plaque
ASV_321	plaque
ASV_329	plaque
ASV_431	plaque
ASV_435	plaque
ASV_444	plaque
ASV_547	feces
ASV_596	plaque
ASV_619	plaque
ASV_642	saliva
ASV_733	feces
ASV_811	feces
ASV_814	feces
ASV_816	feces
ASV_984	plaque
ASV_1038	saliva
ASV_205	plaque
ASV_251	plaque
ASV_296	All
ASV_296	feces
ASV_425	plaque
ASV_510	feces
ASV_535	feces
ASV_538	feces
ASV_605	plaque
ASV_610	plaque
ASV_762	feces
ASV_781	feces
ASV_943	plaque
ASV_973	plaque
ASV_990	plaque
ASV_1002	plaque
ASV_310	plaque
ASV_322	plaque
ASV_393	feces
ASV_427	plaque
ASV_454	plaque
ASV_504	feces
ASV_553	All
ASV_553	feces
ASV_607	plaque
ASV_612	plaque
ASV_729	feces
ASV_732	feces
ASV_741	feces
ASV_755	feces
ASV_801	feces
ASV_808	feces
ASV_921	plaque
ASV_981	plaque
ASV_1003	plaque
ASV_331	plaque
ASV_426	plaque
ASV_456	plaque
ASV_539	feces
ASV_589	plaque
ASV_593	plaque
ASV_634	plaque
ASV_638	plaque
ASV_728	feces
ASV_734	feces
ASV_804	feces
ASV_826	All
ASV_826	feces
ASV_893	plaque
ASV_896	plaque
ASV_900	plaque
ASV_926	plaque
ASV_927	plaque
ASV_982	plaque
ASV_992	plaque
ASV_508	feces
ASV_548	feces
ASV_613	plaque
ASV_631	plaque
ASV_730	feces
ASV_895	plaque
ASV_922	plaque
ASV_933	plaque
ASV_1000	plaque
ASV_1001	plaque
ASV_452	plaque
ASV_554	feces
ASV_637	plaque
ASV_832	feces
ASV_632	plaque
ASV_829	feces
ASV_830	feces
ASV_997	plaque
ASV_552	feces
ASV_827	feces
ASV_831	feces
